"soil";"prof_super";"prof_infer";"bd";"oc";"ph";"clay";"silt";"sand";"crs_name";"crs_code";"X";"Y"
"HarmonyPoint3L3P3";0;10;NA;12,87;4,63;21;20,9;58,1;"south pole stereographic";"ESRI:102021";-2708089,532;1614511,922
"HarmonyPoint3L3P4";0;10;NA;16,17;4,74;27,9;24,6;47,6;"south pole stereographic";"ESRI:102021";-2708082,148;1614519,691
"HarmonyPoint3L3P5";0;10;1,0618;4,04;5,67;17,9;18,3;63,8;"south pole stereographic";"ESRI:102021";-2708079,33;1614524,418
"HarmonyPoint3L3P7";0;10;NA;5,88;5,42;20,8;23;56,1;"south pole stereographic";"ESRI:102021";-2708061,844;1614519,118
"HarmonyPointG01";0;10;NA;12,73;5,17;23,89;26,33;49,87;"south pole stereographic";"ESRI:102021";-2709327,853;1614039,773
"HarmonyPointG02";0;10;NA;17,55;4,35;17,45;35,81;44,26;"south pole stereographic";"ESRI:102021";-2709632,5;1613968,261
"HarmonyPointG03";0;10;NA;11,15;4,5;23,46;24,71;41,81;"south pole stereographic";"ESRI:102021";-2709635,84;1614179,818
"HarmonyPointG04";0;10;NA;5,17;4,95;9,4;21,7;68,95;"south pole stereographic";"ESRI:102021";-2709796,415;1614633,722
"HarmonyPointG05";0;10;NA;20,98;4,92;18,57;27,74;53,72;"south pole stereographic";"ESRI:102021";-2708433,72;1614523,106
"HarmonyPointG06";0;10;NA;17,06;5,33;14,5;23,15;62,39;"south pole stereographic";"ESRI:102021";-2708683,546;1614691,356
"HarmonyPointG07";0;10;NA;26,03;4,66;16,16;25,74;58,14;"south pole stereographic";"ESRI:102021";-2708715,348;1614691,805
"HarmonyPointG08";0;10;NA;15,67;4,32;25,3;25,18;33,34;"south pole stereographic";"ESRI:102021";-2709989,064;1614172,342
"HarmonyPointG09";0;10;NA;8,61;4,72;16,05;21,1;62,85;"south pole stereographic";"ESRI:102021";-2709152,598;1613934,631
"HarmonyPointG10";0;10;NA;8,9;4,98;25,6;25,35;49,05;"south pole stereographic";"ESRI:102021";-2709322,046;1613759,773
"HarmonyPointG11";0;10;NA;2,7;5,46;23,4;25,95;50,65;"south pole stereographic";"ESRI:102021";-2708940,396;1614286,352
"HarmonyPointG12";0;10;NA;2,21;6,04;21,4;30,77;47,83;"south pole stereographic";"ESRI:102021";-2708744,702;1614350,977
"HarmonyPointI01";22;35;NA;19,48;4,55;23,68;26,99;49,42;"south pole stereographic";"ESRI:102021";-2709312,566;1614086,708
"HarmonyPointI01";50;75;NA;21,04;5,11;18,1;30,15;51,8;"south pole stereographic";"ESRI:102021";-2709312,566;1614086,708
"HarmonyPointI01";0;22;NA;21,82;4,17;24,1;25,68;50,33;"south pole stereographic";"ESRI:102021";-2709312,566;1614086,708
"HarmonyPointI01";35;50;NA;25,71;5,63;24,25;25,1;35,6;"south pole stereographic";"ESRI:102021";-2709312,566;1614086,708
"HarmonyPointI02";20;40;NA;5,22;4,56;13,4;36,8;49,8;"south pole stereographic";"ESRI:102021";-2709653,01;1613903,238
"HarmonyPointI02";8;20;1,257;11,3;4,55;10,9;45,7;43,4;"south pole stereographic";"ESRI:102021";-2709653,01;1613903,238
"HarmonyPointI02";0;8;1,0492;21,43;4,42;24,01;25,92;45,12;"south pole stereographic";"ESRI:102021";-2709653,01;1613903,238
"HarmonyPointI03";25;50;NA;12,08;5;23,3;23,3;23,3;"south pole stereographic";"ESRI:102021";-2709632,052;1614167,289
"HarmonyPointI03";5;25;NA;24,55;4,46;23,95;23,8;52,2;"south pole stereographic";"ESRI:102021";-2709632,052;1614167,289
"HarmonyPointI03";0;5;NA;28,44;4,69;23,12;27,03;49,93;"south pole stereographic";"ESRI:102021";-2709632,052;1614167,289
"HarmonyPointI04";0;15;NA;4,48;5,68;5,8;20,3;74;"south pole stereographic";"ESRI:102021";-2709816,904;1614633,091
"HarmonyPointI04";15;35;NA;5,06;5,79;13;23,1;63,9;"south pole stereographic";"ESRI:102021";-2709816,904;1614633,091
"HarmonyPointI05";80;90;NA;6,08;4,62;19,4;31,8;48,9;"south pole stereographic";"ESRI:102021";-2708429,341;1614515,243
"HarmonyPointI05";70;80;NA;6,24;4,52;20;34,1;45,9;"south pole stereographic";"ESRI:102021";-2708429,341;1614515,243
